iter	Passed	Remaining
566	2325	1775
567	2329	1771
568	2332	1766
569	2338	1763
570	2341	1759
571	2345	1755
572	2348	1750
573	2354	1747
574	2357	1742
575	2360	1737
576	2364	1733
577	2370	1730
578	2373	1725
579	2376	1721
580	2379	1716
581	2385	1712
582	2388	1708
583	2392	1703
584	2395	1699
585	2399	1695
586	2403	1691
587	2407	1686
588	2410	1681
589	2413	1677
590	2419	1674
591	2422	1669
592	2425	1664
593	2428	1660
594	2434	1657
595	2437	1652
596	2441	1647
597	2444	1643
598	2449	1639
599	2452	1635
600	2455	1630
601	2459	1625
602	2465	1623
603	2468	1618
604	2471	1613
605	2475	1609
606	2481	1606
607	2485	1602
608	2488	1597
609	2491	1593
610	2496	1589
611	2499	1584
612	2502	1579
613	2505	1574
614	2507	1569
615	2513	1566
616	2516	1562
617	2520	1557
618	2523	1553
619	2529	1550
620	2532	1545
621	2535	1540
622	2538	1536
623	2544	1532
624	2547	1528
625	2551	1524
626	2555	1520
627	2561	1517
628	2565	1513
629	2569	1508
630	2572	1504
631	2578	1501
632	2581	1496
633	2584	1492
634	2587	1487
635	2593	1484
636	2597	1480
637	2601	1476
638	2605	1471
639	2611	1468
640	2614	1464
641	2618	1460
642	2623	1456
643	2627	1452
644	2630	1447
645	2634	1443
646	2639	1440
647	2643	1436
648	2647	1431
649	2650	1427
650	2655	1423
651	2660	1419
652	2663	1415
653	2667	1411
654	2671	1407
655	2675	1402
656	2677	1398
657	2680	1393
658	2684	1389
659	2688	1385
660	2691	1380
661	2694	1375
662	2696	1370
663	2699	1366
664	2703	1361
665	2706	1357
666	2709	1352
667	2711	1347
668	2715	1343
669	2717	1338
670	2722	1334
671	2724	1329
672	2727	1325
673	2729	1320
674	2732	1315
675	2737	1311
676	2739	1307
677	2742	1302
678	2745	1298
679	2748	1293
680	2753	1289
681	2755	1285
682	2758	1280
683	2760	1275
684	2763	1270
685	2767	1266
686	2771	1262
687	2774	1257
688	2776	1253
689	2779	1248
690	2798	1251
691	2802	1247
